term,estimate,std.error,statistic,p.value,conf.low,conf.high,b,df,dfcom,fmi,lambda,m,riv,ubar,Target,Site.Code,Source
Rel.Month6,-48.02121049838735,3.66568052583042,-13.100217042921017,2.052017490687749e-9,-55.86048813206023,-40.18193286471446,12.740031983094754,14.448313862193546,13097,0.9960347410495884,0.9955213828946747,20,222.28320918771095,0.06018013520289345,PSII.PRM,119101A,Discharge
Sampling.Year2022-2023,0.3196791687471804,3.212359415529969,0.09951538025343915,0.9213858825936796,-6.2386534668224485,6.8780118043168095,7.747554021546588,30.239759451263136,13097,0.8010618536017317,0.78832563860567,20,3.724237708397244,2.184321291920126,PSII.PRM,119101A,Discharge
Sampling.Year2023-2024,-1.7939960732533045,2.7772634655197805,-0.6459581870881479,0.5223358966224816,-7.423326992733694,3.8353348462270844,5.2663323740240084,36.60305639085233,13097,0.7312044337431827,0.7169079593575417,20,2.5324200487253807,2.1835433641857307,PSII.PRM,119101A,Discharge
(Intercept),61.733930518624945,6.051923440177397,10.200712406370984,2.0631515472571915e-10,49.271992423158615,74.19586861409127,30.140705927051613,25.088600641363573,13097,0.8737614863229773,0.8640838102059325,20,6.357475231722897,4.978036102364421,Total.PRM,119101A,Discharge
Discharge_cumecs,-0.013897714985228186,0.020139821713265275,-0.6900614704088631,0.4989725517520506,-0.056215340531661676,0.028419910561205308,3.8004049372648824e-4,17.967833738324046,13097,0.9853475009803015,0.9838025170647062,20,60.73798756231685,6.569900229298792e-6,Total.PRM,119101A,Discharge
Rel.Month2,-25.612627240859908,5.671420082066415,-4.516087129897067,4.520292646281508e-4,-37.74482990661412,-13.480424575105696,30.497861987086484,14.402092513300522,13097,0.996085746813545,0.9955774713070741,20,225.11498295071658,0.1422506608254121,Total.PRM,119101A,Discharge
Rel.Month3,-43.35959593922196,5.925479910043788,-7.317482566387023,3.588361521133521e-6,-56.05658222606107,-30.662609652382855,33.30143529236535,14.141311700745877,13097,0.9963570243566751,0.995875827520453,20,241.47288515679932,0.1448051073489194,Total.PRM,119101A,Discharge
Rel.Month4,-50.8611484700026,4.593110588445918,-11.073355951399268,6.858927393624937e-9,-60.6017657455864,-41.120531194418795,19.951201793895148,15.926410184216238,13097,0.9937301121211443,0.9929892712918582,20,141.6385246998156,0.14790299410409757,Total.PRM,119101A,Discharge
Rel.Month5,-43.69440248003424,6.070366658993628,-7.197984064982014,4.791277395608812e-6,-56.72379472772626,-30.665010232342226,34.95907889289399,13.889201854720676,13097,0.9965951819031661,0.9961378278918424,20,257.9216565175315,0.1423185370827658,Total.PRM,119101A,Discharge
Rel.Month6,-49.673291387452814,7.712421359929731,-6.440686921688806,3.487449368427573e-5,-66.5113617266712,-32.83522104823444,56.51577531097785,11.784480156400896,13097,0.9979664796533066,0.9976483563785522,20,424.23450019368704,0.13987915657362607,Total.PRM,119101A,Discharge
